"preusuel";"sexratio_prenom";"n";"sexe_prenom"
"loline";0;84;"Femme"
"lolita";0;7051;"Femme"
"lolla";0;151;"Femme"
"lolly";0;73;"Femme"
"loly";0;217;"Femme"
"lolyta";0;53;"Femme"
"loma";0;37;"Femme"
"loman";1;66;"Homme"
"lomane";0;135;"Femme"
"lomee";0;32;"Femme"
"lomig";1;187;"Homme"
"lona";0;509;"Femme"
"lonan";1;39;"Homme"
"longin";1;27;"Homme"
"loni";0.935779816513762;327;"Homme"
"lonie";0;91;"Femme"
"lonis";1;207;"Homme"
"lonna";0;24;"Femme"
"lonni";1;109;"Homme"
"lonnie";0.404494382022472;89;"Epicene"
"lonny";1;345;"Homme"
"lony";0.953241232731137;941;"Homme"
"lonys";1;70;"Homme"
"looane";0;40;"Femme"
"looka";1;115;"Homme"
"lookas";1;24;"Homme"
"loola";0;54;"Femme"
"loona";0;1648;"Femme"
"loqman";1;369;"Homme"
"loqmane";1;147;"Homme"
"loqmen";1;39;"Homme"
"lora";0;1117;"Femme"
"lorada";0;21;"Femme"
"loraine";0;595;"Femme"
"loralie";0;84;"Femme"
"loraline";0;128;"Femme"
"loraly";0;28;"Femme"
"loralyne";0;34;"Femme"
"loran";1;110;"Homme"
"lorana";0;65;"Femme"
"lorane";0;410;"Femme"
"loranne";0;68;"Femme"
"lorca";1;30;"Homme"
"lorcan";1;49;"Homme"
"lord";1;25;"Homme"
"lore";0;416;"Femme"
"lorea";0;276;"Femme"
"loreana";0;56;"Femme"
"loreane";0;61;"Femme"
"loredana";0;631;"Femme"
"lorédana";0;38;"Femme"
"loredane";0;109;"Femme"
"loreen";0;434;"Femme"
"loreena";0;230;"Femme"
"loreine";0;39;"Femme"
"lorela";0;21;"Femme"
"lorelai";0;66;"Femme"
"lorelaï";0;32;"Femme"
"lorelei";0;1599;"Femme"
"loreleï";0;389;"Femme"
"lorelene";0;31;"Femme"
"loreley";0;82;"Femme"
"lorelia";0;43;"Femme"
"lorélia";0;20;"Femme"
"lorelie";0;61;"Femme"
"lorélie";0;20;"Femme"
"loreline";0;335;"Femme"
"loréline";0;61;"Femme"
"lorella";0;248;"Femme"
"lorely";0;32;"Femme"
"lorelyne";0;83;"Femme"
"lorélyne";0;30;"Femme"
"loren";0.0306603773584906;848;"Femme"
"lorena";0;3429;"Femme"
"loréna";0;371;"Femme"
"lorèna";0;23;"Femme"
"lorence";0;48;"Femme"
"lorencia";0;35;"Femme"
"lorenco";1;20;"Homme"
"lorenda";0;34;"Femme"
"lorene";0;3076;"Femme"
"lorène";0;708;"Femme"
"lorenn";0;71;"Femme"
"lorenna";0;94;"Femme"
"lorenne";0;49;"Femme"
"lorens";1;94;"Homme"
"lorenso";1;40;"Homme"
"lorent";1;79;"Homme"
"lorentin";1;20;"Homme"
"lorentz";1;100;"Homme"
"lorenz";1;285;"Homme"
"lorenza";0;1464;"Femme"
"lorenzia";0;31;"Femme"
"lorenzo";1;24896;"Homme"
"lorenzzo";1;20;"Homme"
"loresa";0;27;"Femme"
"loreta";0;46;"Femme"
"loreto";1;27;"Homme"
"loretta";0;326;"Femme"
"lorette";0;2367;"Femme"
"loreva";0;26;"Femme"
"loreyna";0;22;"Femme"
"lori";0.23943661971831;426;"Epicene"
"loria";0;118;"Femme"
"lorian";1;206;"Homme"
"loriana";0;473;"Femme"
"loriane";0;3053;"Femme"
"lorianna";0;48;"Femme"
"lorianne";0;353;"Femme"
"loriano";1;51;"Homme"
"loric";1;928;"Homme"
"lorick";1;624;"Homme"
"lorie";0;2386;"Femme"
"lorien";1;25;"Homme"
"lorik";1;983;"Homme"
"lorin";0.432098765432099;243;"Epicene"
"lorina";0;390;"Femme"
"lorinda";0;217;"Femme"
"lorine";0;3369;"Femme"
"lorinne";0;106;"Femme"
"loris";0.995573355817875;14232;"Homme"
"loriss";1;37;"Homme"
"lorita";0;36;"Femme"
"lorline";0;41;"Femme"
"lorlyne";0;25;"Femme"
"lorna";0;1314;"Femme"
"lorrain";1;101;"Homme"
"lorrene";0;27;"Femme"
"lorrenzo";1;23;"Homme"
"lorriane";0;34;"Femme"
"lorrie";0;245;"Femme"
"lorrine";0;58;"Femme"
"lorris";1;633;"Homme"
"lorry";0.56701030927835;388;"Epicene"
"lorrys";1;38;"Homme"
"lory";0.235632183908046;1218;"Epicene"
"lory-anne";0;21;"Femme"
"loryana";0;62;"Femme"
"loryane";0;189;"Femme"
"loryanne";0;40;"Femme"
"loryc";1;20;"Homme"
"loryck";1;22;"Homme"
"lorye";0;24;"Femme"
"loryk";1;23;"Homme"
"loryn";0;62;"Femme"
"loryna";0;43;"Femme"
"loryne";0;498;"Femme"
"lorys";1;1424;"Homme"
"losseni";1;39;"Homme"
"lotfi";1;1658;"Homme"
"lotfy";1;80;"Homme"
"lothaire";1;473;"Homme"
"lothar";1;123;"Homme"
"lotta";0;22;"Femme"
"lotte";0;41;"Femme"
"lottie";0;74;"Femme"
"lou-ambre";0;24;"Femme"
"lou-an";0;48;"Femme"
"lou-ana";0;54;"Femme"
"lou-anaïs";0;23;"Femme"
"lou-andréa";0;168;"Femme"
"lou-ange";0;43;"Femme"
"lou-anh";0;123;"Femme"
"lou-ann";0;6347;"Femme"
"lou-anna";0;258;"Femme"
"lou-anne";0;7460;"Femme"
"lou-elise";0;27;"Femme"
"lou-eva";0;121;"Femme"
"lou-evan";1;21;"Homme"
"lou-eve";0;53;"Femme"
"lou-han";0;34;"Femme"
"lou-hann";0;29;"Femme"
"lou-jade";0;20;"Femme"
"lou-jeanne";0;29;"Femme"
"lou-marie";0;89;"Femme"
"lou-marine";0;31;"Femme"
"lou-rose";0;82;"Femme"
"lou-salomé";0;116;"Femme"
"lou'ann";0;38;"Femme"
"loua";0;42;"Femme"
"louai";1;131;"Homme"
"louaï";1;75;"Homme"
"louam";1;45;"Homme"
"louan";0.85352862849534;1502;"Homme"
"louana";0;1109;"Femme"
"louane";0.00173233243015147;22513;"Femme"
"louange";0;42;"Femme"
"louann";0.0795273075694666;3131;"Femme"
"louanna";0;175;"Femme"
"louanne";0;4816;"Femme"
"louardi";1;27;"Homme"
"louarn";1;26;"Homme"
"louay";1;706;"Homme"
"louaye";1;71;"Homme"
"louba";0;47;"Femme"
"loubena";0;24;"Femme"
"loubna";0;4092;"Femme"
"louca";0.991864406779661;2950;"Homme"
"loucas";1;2507;"Homme"
"loucca";1;23;"Homme"
"loucia";0;473;"Femme"
"loucian";1;116;"Homme"
"louciana";0;133;"Femme"
"louciane";1;29;"Homme"
"louciann";1;33;"Homme"
"louciano";1;53;"Homme"
"loucif";1;60;"Homme"
"loucine";0;30;"Femme"
"loucka";1;190;"Homme"
"louckas";1;57;"Homme"
"loucya";0;34;"Femme"
"loucyan";1;33;"Homme"
"loudia";0;29;"Femme"
"loudji";1;22;"Homme"
"loudmila";0;32;"Femme"
"loudwig";1;25;"Homme"
"louei";1;23;"Homme"
"loueï";1;29;"Homme"
"louella";0;92;"Femme"
"louen";0.966442953020134;596;"Homme"
"louën";1;31;"Homme"
"louena";0;59;"Femme"
"louéna";0;54;"Femme"
"louenn";0.731369150779896;577;"Epicene"
"loueva";0;41;"Femme"
"louéva";0;23;"Femme"
"louey";1;109;"Homme"
"loueye";1;30;"Homme"
"louhan";0.777777777777778;126;"Epicene"
"louhana";0;45;"Femme"
"louhane";0;311;"Femme"
"louhann";0.189189189189189;185;"Femme"
"louhanne";0;88;"Femme"
"louhna";0;36;"Femme"
"loui";1;41;"Homme"
"louidji";1;38;"Homme"
"louidjy";1;33;"Homme"
"louie";1;35;"Homme"
"louines";1;20;"Homme"
"louis";0.999684557943006;513565;"Homme"
"louïs";1;55;"Homme"
"louis-adrien";1;81;"Homme"
"louis-albert";1;23;"Homme"
"louis-alexandre";1;303;"Homme"
"louis-alexis";1;96;"Homme"
"louis-amaury";1;23;"Homme"
"louis-andré";1;68;"Homme"
"louis-ange";1;24;"Homme"
"louis-antoine";1;167;"Homme"
"louis-armand";1;40;"Homme"
"louis-arnaud";1;39;"Homme"
"louis-arthur";1;118;"Homme"
"louis-augustin";1;25;"Homme"
"louis-axel";1;26;"Homme"
"louis-baptiste";1;100;"Homme"
"louis-benoît";1;22;"Homme"
"louis-bernard";1;33;"Homme"
"louis-camille";1;27;"Homme"
"louis-charles";1;144;"Homme"
"louis-claude";1;37;"Homme"
"louis-clément";1;41;"Homme"
"louis-daniel";1;25;"Homme"
"louis-david";1;86;"Homme"
"louis-dominique";1;36;"Homme"
"louis-edouard";1;48;"Homme"
"louis-emmanuel";1;95;"Homme"
"louis-etienne";1;48;"Homme"
"louis-félix";1;100;"Homme"
"louis-ferdinand";1;53;"Homme"
"louis-françois";1;116;"Homme"
"louis-frédéric";1;55;"Homme"
"louis-gabriel";1;243;"Homme"
"louis-georges";1;94;"Homme"
"louis-gonzague";1;22;"Homme"
"louis-guillaume";1;89;"Homme"
"louis-guy";1;74;"Homme"
"louis-henri";1;120;"Homme"
"louis-henry";1;20;"Homme"
"louis-jacques";1;24;"Homme"
"louis-jean";1;91;"Homme"
"louis-josé";1;22;"Homme"
"louis-joseph";1;212;"Homme"
"louis-julien";1;26;"Homme"
"louis-laurent";1;22;"Homme"
"louis-mael";1;31;"Homme"
"louis-malo";1;24;"Homme"
"louis-manuel";1;24;"Homme"
"louis-marc";1;28;"Homme"
"louis-marie";1;1955;"Homme"
"louis-marin";1;37;"Homme"
"louis-martin";1;25;"Homme"
"louis-mathieu";1;25;"Homme"
"louis-mathis";1;32;"Homme"
"louis-maxence";1;36;"Homme"
"louis-maxime";1;45;"Homme"
"louis-michel";1;124;"Homme"
"louis-nicolas";1;106;"Homme"
"louis-noël";1;31;"Homme"
"louis-olivier";1;41;"Homme"
"louis-paul";1;157;"Homme"
"louis-philippe";1;512;"Homme"
"louis-pierre";1;165;"Homme"
"louis-raphaël";1;34;"Homme"
"louis-rené";1;33;"Homme"
"louis-simon";1;24;"Homme"
"louis-thomas";1;33;"Homme"
"louis-valentin";1;43;"Homme"
"louis-victor";1;195;"Homme"
"louis-vincent";1;40;"Homme"
"louis-xavier";1;93;"Homme"
"louisa";0;16779;"Femme"
"louisa-rose";0;21;"Femme"
"louisane";0;135;"Femme"
"louisanne";0;142;"Femme"
"louise";0.000199782544384382;260283;"Femme"
"louïse";0;21;"Femme"
"louise-amélie";0;24;"Femme"
"louise-anna";0;31;"Femme"
"louise-anne";0;165;"Femme"
"louise-marie";0;539;"Femme"
"louisette";0;20127;"Femme"
"louisia";0;304;"Femme"
"louisiana";0;56;"Femme"
"louisiane";0;1122;"Femme"
"louisianne";0;139;"Femme"
"louisie";0;109;"Femme"
"louison";0.469714550939893;8618;"Epicene"
"louisy";0;185;"Femme"
"louiza";0;992;"Femme"
"louize";0;39;"Femme"
"louizon";0;22;"Femme"
"loujain";0;33;"Femme"
"loujaine";0;117;"Femme"
"loujaïne";0;58;"Femme"
"loujayn";0;100;"Femme"
"loujayna";0;21;"Femme"
"loujayne";0;183;"Femme"
"loujeyne";0;20;"Femme"
"louka";0.984970382813191;11311;"Homme"
"loukas";1;1855;"Homme"
"loukass";1;46;"Homme"
"loukia";0;112;"Femme"
"loukian";1;114;"Homme"
"loukiana";0;26;"Femme"
"loukina";0;30;"Femme"
"loukman";1;67;"Homme"
"loukmane";1;73;"Homme"
"loula";0;456;"Femme"
"loulia";0;118;"Femme"
"louliana";0;22;"Femme"
"loulou";0;48;"Femme"
"louloua";0;26;"Femme"
"loulya";0;30;"Femme"
"louma";0;47;"Femme"
"loumea";0;21;"Femme"
"louméa";0;29;"Femme"
"loumen";0;61;"Femme"
"loumène";0;33;"Femme"
"loumeo";1;32;"Homme"
"louméo";1;137;"Homme"
"loumi";0;24;"Femme"
"loumia";0;49;"Femme"
"loumna";0;20;"Femme"
"louna";0;32527;"Femme"
"lounah";0;56;"Femme"
"lounas";1;40;"Homme"
"loundja";0;24;"Femme"
"lounea";0;31;"Femme"
"lounéa";0;60;"Femme"
"lounes";0.978779840848806;1508;"Homme"
"lounès";1;351;"Homme"
"louness";0.791666666666667;120;"Epicene"
"lounia";0;21;"Femme"
"lounis";1;1332;"Homme"
"louniss";1;36;"Homme"
"lounna";0;239;"Femme"
"louny";1;43;"Homme"
"lounys";1;156;"Homme"
"louqman";1;143;"Homme"
"louqmane";1;62;"Homme"
"lourenco";1;34;"Homme"
"lourenço";1;77;"Homme"
"louri";1;53;"Homme"
"loury";1;30;"Homme"
"loussia";0;36;"Femme"
"loussine";0;39;"Femme"
"loutfi";1;319;"Homme"
"louve";0;350;"Femme"
"louwan";1;22;"Homme"
"louwane";0;21;"Femme"
"louwen";1;38;"Homme"
"louwenn";0;62;"Femme"
"louy";1;114;"Homme"
"louys";1;64;"Homme"
"louysa";0;21;"Femme"
"louyse";0;42;"Femme"
"lova";0.314606741573034;89;"Epicene"
"lovaina";0;30;"Femme"
"lovan";1;105;"Homme"
"lovana";0;39;"Femme"
"lovann";1;31;"Homme"
"lovelie";0;24;"Femme"
"lovely";0;588;"Femme"
"lovena";0;54;"Femme"
"lovia";0;24;"Femme"
"lovina";0;49;"Femme"
"lovis";1;23;"Homme"
"lowan";1;367;"Homme"
"lowann";1;47;"Homme"
"lowell";1;80;"Homme"
"lowen";1;502;"Homme"
"lowenn";1;57;"Homme"
"lowens";1;23;"Homme"
"lowik";1;52;"Homme"
"loyan";1;34;"Homme"
"loyann";1;27;"Homme"
"loyc";1;23;"Homme"
"loyce";0.518518518518518;54;"Epicene"
"loyd";1;195;"Homme"
"loyola";0;37;"Femme"
"loys";1;377;"Homme"
"loyse";0;50;"Femme"
"lu-ann";0;28;"Femme"
"lu'ay";1;36;"Homme"
"luan";0.832;750;"Homme"
"luana";0;1924;"Femme"
"luane";0;384;"Femme"
"luann";0.209677419354839;124;"Epicene"
"luanna";0;65;"Femme"
"luanne";0;86;"Femme"
"luay";1;37;"Homme"
"luba";0;27;"Femme"
"lubert";1;45;"Homme"
"lubin";1;3311;"Homme"
"lubna";0;120;"Femme"
"luc-alexandre";1;24;"Homme"
"luc-andré";1;40;"Homme"
"luc-antoine";1;50;"Homme"
"luc-emmanuel";1;30;"Homme"
"luc-henri";1;28;"Homme"
"luc-marie";1;55;"Homme"
"luc-michel";1;30;"Homme"
"luc-olivier";1;73;"Homme"
"luca";0.998238816484678;14195;"Homme"
"lùca";1;29;"Homme"
"lucas";0.999781578580139;164819;"Homme"
"lùcas";1;34;"Homme"
"lucay";1;689;"Homme"
"lucaz";1;21;"Homme"
"lucca";1;539;"Homme"
"luccas";1;30;"Homme"
"luccia";0;96;"Femme"
"lucciana";0;75;"Femme"
"lucciano";1;117;"Homme"
"luccio";1;22;"Homme"
"luce";0.0772342773078338;8157;"Femme"
"luce-marie";0;30;"Femme"
"lucelia";0;20;"Femme"
"lucene";0;31;"Femme"
"lucenzo";1;503;"Homme"
"lucet";1;199;"Homme"
"lucette";0;69951;"Femme"
"luchenzo";1;24;"Homme"
"lucho";1;43;"Homme"
"luci";0;35;"Femme"
"lucia";0;8258;"Femme"
"lùcia";0;51;"Femme"
"lucia-maria";0;21;"Femme"
"lucian";1;651;"Homme"
"luciana";0;1389;"Femme"
"luciane";0;502;"Femme"
"lucianna";0;113;"Femme"
"lucianne";0;199;"Femme"
"lucianno";1;24;"Homme"
"luciano";1;2586;"Homme"
"lucie";0.000521446343171288;201363;"Femme"
"lucie-anne";0;74;"Femme"
"lucie-lou";0;71;"Femme"
"lucie-marie";0;57;"Femme"
"lucie-rose";0;20;"Femme"
"lucien";0.999571335383468;214620;"Homme"
"luciene";0;24;"Femme"
"lucienne";0;170758;"Femme"
"lucil";0;35;"Femme"
"lucila";0;44;"Femme"
"lucile";0.00194824794885163;36443;"Femme"
"lucilia";0;360;"Femme"
"lucilien";1;30;"Homme"
"lucilla";0;50;"Femme"
"lucille";0;9129;"Femme"
"lucillia";0;30;"Femme"
"lucina";0;199;"Femme"
"lucinda";0;1084;"Femme"
"lucine";0;885;"Femme"
"lucio";1;506;"Homme"
"lucius";1;120;"Homme"
"luck";1;175;"Homme"
"lucka";1;373;"Homme"
"luckas";1;387;"Homme"
"lucky";1;222;"Homme"
"lucman";1;24;"Homme"
"luco";1;155;"Homme"
"lucrece";0.0371621621621622;888;"Femme"
"lucrèce";0;90;"Femme"
"lucrecia";0;72;"Femme"
"lucretia";0;22;"Femme"
"lucrezia";0;122;"Femme"
"lucy";0;7589;"Femme"
"lucy-lou";0;30;"Femme"
"lucya";0;39;"Femme"
"lucyan";1;33;"Homme"
"lucye";0;55;"Femme"
"lucyl";0;58;"Femme"
"lucyle";0;279;"Femme"
"lucylle";0;113;"Femme"
"lucynda";0;131;"Femme"
"ludan";1;27;"Homme"
"luderce";1;54;"Homme"
"luderic";1;114;"Homme"
"luderick";1;23;"Homme"
"ludger";1;301;"Homme"
"ludgi";1;73;"Homme"
"ludgy";1;71;"Homme"
"ludiana";0;21;"Femme"
"ludie";0;22;"Femme"
"ludine";0;106;"Femme"
"ludivina";0;30;"Femme"
"ludivine";0;41876;"Femme"
"ludivyne";0;84;"Femme"
"ludiwine";0;276;"Femme"
"ludji";1;34;"Homme"
"ludjy";1;56;"Homme"
"ludmila";0;1100;"Femme"
"ludmilia";0;20;"Femme"
"ludmilla";0;1522;"Femme"
"ludmillia";0;25;"Femme"
"ludmina";0;85;"Femme"
"ludmyla";0;40;"Femme"
"ludmylla";0;22;"Femme"
"ludo";1;216;"Homme"
"ludovic";0.999119005105051;127129;"Homme"
"ludovica";0;111;"Femme"
"ludovick";1;241;"Homme"
"ludovico";1;67;"Homme"
"ludovie";0;33;"Femme"
"ludovik";1;102;"Homme"
"ludovina";0;27;"Femme"
"ludovine";0;119;"Femme"
"ludovique";0;93;"Femme"
"ludowic";1;32;"Homme"
"ludric";1;43;"Homme"
"ludrick";1;98;"Homme"
"ludvic";1;75;"Homme"
"ludvick";1;33;"Homme"
"ludvig";1;53;"Homme"
"ludvik";1;29;"Homme"
"ludvina";0;109;"Femme"
"ludvine";0;34;"Femme"
"ludwic";1;20;"Homme"
"ludwick";1;60;"Homme"
"ludwig";1;3311;"Homme"
"ludwik";1;108;"Homme"
"ludwika";0;23;"Femme"
"ludwin";1;32;"Homme"
"ludwina";0;68;"Femme"
"ludwine";0;105;"Femme"
"ludwing";1;28;"Homme"
"ludy";0;24;"Femme"
"ludyvine";0;307;"Femme"
"luella";0;20;"Femme"
"luena";0;76;"Femme"
"lugan";1;26;"Homme"
"lugdivine";0;262;"Femme"
"lughan";1;34;"Homme"
"luguy";1;36;"Homme"
"luhan";1;120;"Homme"
"luidgi";1;514;"Homme"
"luidgy";1;244;"Homme"
"luidji";1;268;"Homme"
"luidjy";1;182;"Homme"
"luiggi";1;115;"Homme"
"luiggy";1;24;"Homme"
"luigi";1;4489;"Homme"
"luigia";0;182;"Femme"
"luigina";0;180;"Femme"
"luigino";1;96;"Homme"
"luigui";1;24;"Homme"
"luiguy";1;54;"Homme"
"luigy";1;103;"Homme"
"luiji";1;21;"Homme"
"luis";1;8477;"Homme"
"luïs";1;59;"Homme"
"luis-filipe";1;76;"Homme"
"luis-manuel";1;70;"Homme"
"luis-miguel";1;125;"Homme"
"luis-philippe";1;20;"Homme"
"luisa";0;1882;"Femme"
"luisa-maria";0;21;"Femme"
"luise";0;46;"Femme"
"luisella";0;21;"Femme"
"luiz";1;258;"Homme"
"luiza";0;335;"Femme"
"luka";0.997820401046208;9176;"Homme"
"lùka";1;28;"Homme"
"lüka";1;21;"Homme"
"lukas";1;8457;"Homme"
"lukasz";1;90;"Homme"
"lukaz";1;35;"Homme"
"luke";1;1403;"Homme"
"luken";1;143;"Homme"
"lukian";1;65;"Homme"
"lukman";1;37;"Homme"
"lula";0;193;"Femme"
"lulia";0;20;"Femme"
"lulla";0;29;"Femme"
"lullaby";0;22;"Femme"
"lulu";1;24;"Homme"
"luma";0;85;"Femme"
"lumen";0;75;"Femme"
"lumi";0;39;"Femme"
"lumina";0;28;"Femme"
"luna";0;20192;"Femme"
"lùna";0;208;"Femme"
"lûna";0;27;"Femme"
"lüna";0;75;"Femme"
"luna-maria";0;29;"Femme"
"luna-marie";0;29;"Femme"
"luna-rose";0;42;"Femme"
"lunah";0;26;"Femme"
"lunis";1;34;"Homme"
"lunise";0;22;"Femme"
"lunna";0;74;"Femme"
"lupita";0;54;"Femme"
"luqman";1;336;"Homme"
"luqmân";1;20;"Homme"
"lurdes";0;167;"Femme"
"lusia";0;33;"Femme"
"lussy";0;26;"Femme"
"lutece";0;90;"Femme"
"lutèce";0;34;"Femme"
"lutecia";0;28;"Femme"
"lutetia";0;20;"Femme"
"lutfi";1;35;"Homme"
"lutfiye";0;47;"Femme"
"luther";1;275;"Homme"
"lutricia";0;34;"Femme"
"lutxo";1;24;"Homme"
"luuna";0;58;"Femme"
"luvio";1;37;"Homme"
"luyana";0;65;"Femme"
"luyanna";0;35;"Femme"
"luzia";0;93;"Femme"
"lwiza";0;23;"Femme"
"ly-ann";0;66;"Femme"
"ly-anne";0;32;"Femme"
"ly-lan";0;60;"Femme"
"ly-lou";0;71;"Femme"
"lyaam";1;21;"Homme"
"lyad";1;155;"Homme"
"lyah";0;943;"Femme"
"lyam";0.99358527402036;7171;"Homme"
"lyame";0;25;"Femme"
"lyamin";1;29;"Homme"
"lyamine";1;100;"Homme"
"lyamna";0;20;"Femme"
"lyan";1;92;"Homme"
"lyana";0;3531;"Femme"
"lyanah";0;94;"Femme"
"lyandro";1;47;"Homme"
"lyane";0;143;"Femme"
"lyann";0.694117647058824;85;"Epicene"
"lyanna";0;776;"Femme"
"lyannah";0;66;"Femme"
"lyanne";0;47;"Femme"
"lyano";1;44;"Homme"
"lyara";0;21;"Femme"
"lyas";1;43;"Homme"
"lyazid";1;160;"Homme"
"lycia";0;687;"Femme"
"lyda";0;188;"Femme"
"lyderic";1;270;"Homme"
"lydéric";1;38;"Homme"
"lyderick";1;20;"Homme"
"lydia";0;31255;"Femme"
"lydian";1;61;"Homme"
"lydiana";0;40;"Femme"
"lydiane";0;625;"Femme"
"lydianne";0;30;"Femme"
"lydie";0.00237019245962772;63286;"Femme"
"lydie-anne";0;47;"Femme"
"lydwine";0;192;"Femme"
"lyece";1;35;"Homme"
"lyel";0;40;"Femme"
"lyem";1;45;"Homme"
"lyenzo";1;25;"Homme"
"lyes";1;2142;"Homme"
"lyès";1;119;"Homme"
"lyess";1;235;"Homme"
"lyesse";1;72;"Homme"
"lygie";0;67;"Femme"
"lyha";0;199;"Femme"
"lyham";1;706;"Homme"
"lyhan";1;25;"Homme"
"lyhana";0;278;"Femme"
"lyhanna";0;122;"Femme"
"lyhia";0;36;"Femme"
"lyia";0;64;"Femme"
"lyiam";1;30;"Homme"
"lyla";0;1785;"Femme"
"lyla-rose";0;45;"Femme"
"lylah";0;124;"Femme"
"lylas";0;131;"Femme"
"lyli";0;53;"Femme"
"lyli-rose";0;20;"Femme"
"lylia";0;2745;"Femme"
"lyliah";0;51;"Femme"
"lylian";0.988555858310627;1835;"Homme"
"lyliana";0;117;"Femme"
"lyliane";0;2618;"Femme"
"lylianna";0;30;"Femme"
"lylianne";0;96;"Femme"
"lylie";0;352;"Femme"
"lylie-rose";0;43;"Femme"
"lylio";1;192;"Homme"
"lylla";0;62;"Femme"
"lyllia";0;61;"Femme"
"lyllian";1;50;"Homme"
"lyllie";0;44;"Femme"
"lylloo";0;42;"Femme"
"lyllou";0;126;"Femme"
"lylo";0.373134328358209;67;"Epicene"
"lyloo";0;797;"Femme"
"lylou";0;7567;"Femme"
"lylouane";0;36;"Femme"
"lyloue";0;29;"Femme"
"lylwen";0;51;"Femme"
"lylwenn";0;251;"Femme"
"lyly";0;166;"Femme"
"lyly-rose";0;48;"Femme"
"lylya";0;24;"Femme"
"lyna";0;10693;"Femme"
"lynaé";0;21;"Femme"
"lynaelle";0;44;"Femme"
"lynaëlle";0;56;"Femme"
"lynah";0;136;"Femme"
"lynaïs";0;30;"Femme"
"lynce";0;22;"Femme"
"lyncee";0;53;"Femme"
"lyncia";0;87;"Femme"
"lynda";0;5396;"Femme"
"lyndia";0;102;"Femme"
"lyndie";0;118;"Femme"
"lyndon";1;23;"Homme"
"lyndsay";0;227;"Femme"
"lyndsey";0;85;"Femme"
"lyne";0;2578;"Femme"
"lynelle";0;24;"Femme"
"lynes";0;35;"Femme"
"lynès";0;38;"Femme"
"lyness";0;23;"Femme"
"lynette";0;91;"Femme"
"lynn";0;1212;"Femme"
"lynna";0;513;"Femme"
"lynne";0;180;"Femme"
"lynnsha";0;71;"Femme"
"lyno";1;70;"Homme"
"lynoa";0;74;"Femme"
"lynsay";0;33;"Femme"
"lynsee";0;27;"Femme"
"lynsey";0;41;"Femme"
"lynsha";0;61;"Femme"
"lynsia";0;22;"Femme"
"lyona";0;47;"Femme"
"lyonel";1;788;"Homme"
"lyonnel";1;255;"Homme"
"lyor";1;64;"Homme"
"lyora";0;41;"Femme"
"lyoris";1;91;"Homme"
"lyra";0;211;"Femme"
"lyria";0;90;"Femme"
"lyron";1;121;"Homme"
"lyrone";1;50;"Homme"
"lyronn";1;38;"Homme"
"lyroy";1;22;"Homme"
"lysa";0;2323;"Femme"
"lysa-marie";0;26;"Femme"
"lysana";0;52;"Femme"
"lysandra";0;116;"Femme"
"lysandre";0.774217585692995;1342;"Epicene"
"lysandro";1;162;"Homme"
"lysane";0;26;"Femme"
"lysange";0;36;"Femme"
"lysanna";0;24;"Femme"
"lysanne";0;25;"Femme"
"lysbeth";0;27;"Femme"
"lyse";0;2340;"Femme"
"lyse-marie";0;48;"Femme"
"lysea";0;412;"Femme"
"lyséa";0;413;"Femme"
"lysette";0;42;"Femme"
"lysia";0;332;"Femme"
"lysian";1;215;"Homme"
"lysiana";0;37;"Femme"
"lysiane";0;10117;"Femme"
"lysianne";0;509;"Femme"
"lysie";0;495;"Femme"
"lysis";0;76;"Femme"
"lyson";0;476;"Femme"
"lyssa";0;51;"Femme"
"lyssana";0;150;"Femme"
"lyssandra";0;55;"Femme"
"lyssandre";0.664268585131894;417;"Epicene"
"lyssandro";1;110;"Homme"
"lyssia";0;358;"Femme"
"lytal";0;20;"Femme"
"lyvan";1;238;"Homme"
"lyvana";0;35;"Femme"
"lyvann";1;213;"Homme"
"lyven";1;31;"Homme"
"lyvia";0;1003;"Femme"
"lyvie";0;74;"Femme"
"lyvio";1;262;"Homme"
"lywan";1;26;"Homme"
"lywen";0.666666666666667;84;"Epicene"
"lywenn";0;81;"Femme"
"lyza";0;122;"Femme"
"lyze";0;22;"Femme"
"lyzea";0;127;"Femme"
"lyzéa";0;158;"Femme"
"lyzia";0;46;"Femme"
"lyziane";0;21;"Femme"
"lyzie";0;130;"Femme"
"lyzio";1;31;"Homme"
"lyzzie";0;34;"Femme"
"m'balou";0;24;"Femme"
"m'barek";1;105;"Homme"
"m'bark";1;39;"Homme"
"m'barka";0;107;"Femme"
"m'baye";1;44;"Homme"
"m'bemba";1;72;"Homme"
"m'hamed";1;626;"Homme"
"m'hammed";1;42;"Homme"
"m'hand";1;33;"Homme"
"m'mah";0;54;"Femme"
"m'mahawa";0;61;"Femme"
"m'paly";1;41;"Homme"
"m'rick";1;96;"Homme"
"maadi";1;23;"Homme"
"maamar";1;309;"Homme"
"maarten";1;35;"Homme"
"maati";1;99;"Homme"
"maayan";0;37;"Femme"
"maayana";0;20;"Femme"
"maayane";0;138;"Femme"
"maaz";1;20;"Homme"
"mabel";0;76;"Femme"
"mabintou";0;69;"Femme"
"mabinty";0;54;"Femme"
"mabrouck";1;27;"Homme"
"mabrouk";1;331;"Homme"
"mabrouka";0;289;"Femme"
"macaire";0.759493670886076;237;"Epicene"
"macarena";0;26;"Femme"
"maceo";1;1337;"Homme"
"macéo";1;435;"Homme"
"macha";0;515;"Femme"
